Year,Country,Population Denity
2000,Chile,20.64712615
2001,Chile,20.8786952
2002,Chile,21.1070808
2003,Chile,21.32942765
2004,Chile,21.54307548
2005,Chile,21.75469381
2006,Chile,21.96889307
2007,Chile,22.18537736
2008,Chile,22.40853386
2009,Chile,22.639842
2010,Chile,22.86944207
2011,Chile,23.09728835
2012,Chile,23.32350323
2013,Chile,23.54965893
2014,Chile,23.78795802
2015,Chile,24.0341021
2000,China,134.492481
2001,China,135.4730488
2002,China,136.3837796
2003,China,137.2359193
2004,China,138.0534367
2005,China,138.8677661
2006,China,139.6453429
2007,China,140.3765881
2008,China,141.0977052
2009,China,141.8012441
2010,China,142.4877434
2011,China,143.2685098
2012,China,144.243669
2013,China,145.2076439
2014,China,146.1258167
2015,China,146.9779493
2000,Germany,235.5968133
2001,Germany,236.0273001
2002,Germany,236.4515708
2003,Germany,236.6164273
2004,Germany,236.5921954
2005,Germany,236.4646806
2006,Germany,236.2251979
2007,Germany,235.9433619
2008,Germany,235.5221782
2009,Germany,234.9396374
2010,Germany,234.6069082
2011,Germany,230.3046333
2012,Germany,230.7506255
2013,Germany,231.1557126
2014,Germany,232.1080539
2015,Germany,234.1529869
2000,Mexico,50.34771573
2001,Mexico,51.13006404
2002,Mexico,51.91341393
2003,Mexico,52.69134546
2004,Mexico,53.47144371
2005,Mexico,54.24131382
2006,Mexico,54.98433087
2007,Mexico,55.71283881
2008,Mexico,56.42351346
2009,Mexico,57.12566064
2010,Mexico,57.88852645
2011,Mexico,58.72089354
2012,Mexico,59.54675223
2013,Mexico,60.33626688
2014,Mexico,61.08999048
2015,Mexico,61.80709226
2000,United States,30.79730133
2001,United States,31.10362839
2002,United States,31.39354993
2003,United States,31.66453462
2004,United States,31.95894507
2005,United States,32.2548766
2006,United States,32.56739985
2007,United States,32.87861136
2008,United States,33.24368685
2009,United States,33.53639923
2010,United States,33.81578008
2011,United States,34.06244395
2012,United States,34.31324483
2013,United States,34.55181319
2014,United States,34.8061343
2015,United States,35.06332868
2000,Zimbabwe,30.59241566
2001,Zimbabwe,30.78965491
2002,Zimbabwe,30.98008013
2003,Zimbabwe,31.21578907
2004,Zimbabwe,31.43564948
2005,Zimbabwe,31.6007574
2006,Zimbabwe,31.87408556
2007,Zimbabwe,32.18448494
2008,Zimbabwe,32.44241179
2009,Zimbabwe,32.77707122
2010,Zimbabwe,33.1905674
2011,Zimbabwe,33.67141011
2012,Zimbabwe,34.29063203
2013,Zimbabwe,35.04051183
2014,Zimbabwe,35.81686183
2015,Zimbabwe,36.59024687
