team,num_home_games,num_home_goals,home_gpg,num_away_games,num_away_goals,away_gpg,total_num_games,total_goals,total_gpg
Manchester Utd,595,1250,2.101,595,993,1.669,1190,2243,1.885
Arsenal,595,1207,2.029,595,898,1.509,1190,2105,1.769
Liverpool,595,1202,2.02,595,894,1.503,1190,2096,1.761
Manchester City,500,1017,2.034,500,735,1.47,1000,1752,1.752
Chelsea,595,1141,1.918,595,870,1.462,1190,2011,1.69
Tottenham,595,1032,1.734,595,783,1.316,1190,1815,1.525
Blackpool,19,30,1.579,19,25,1.316,38,55,1.447
Brentford,38,57,1.5,38,49,1.289,76,106,1.395
Leeds United,291,430,1.478,291,363,1.247,582,793,1.363
Newcastle Utd,536,867,1.618,536,578,1.078,1072,1445,1.348
Leicester City,325,458,1.409,325,413,1.271,650,871,1.34
Blackburn,348,545,1.566,348,382,1.098,696,927,1.332
Sheffield Weds,158,234,1.481,158,175,1.108,316,409,1.294
Everton,595,897,1.508,595,628,1.055,1190,1525,1.282
Oldham Athletic,42,67,1.595,42,38,0.905,84,105,1.25
West Ham,517,756,1.462,517,521,1.008,1034,1277,1.235
Aston Villa,538,717,1.333,538,599,1.113,1076,1316,1.223
QPR,139,194,1.396,139,145,1.043,278,339,1.219
Bournemouth,114,156,1.368,114,122,1.07,228,278,1.219
Wimbledon,158,218,1.38,158,166,1.051,316,384,1.215
Southampton,462,647,1.4,462,467,1.011,924,1114,1.206
Reading,57,71,1.246,57,65,1.14,114,136,1.193
Bolton,247,319,1.291,247,256,1.036,494,575,1.164
Swansea City,133,179,1.346,133,127,0.955,266,306,1.15
Brighton,114,141,1.237,114,121,1.061,228,262,1.149
Nott'ham Forest,118,142,1.203,118,125,1.059,236,267,1.131
Middlesbrough,287,393,1.369,287,255,0.889,574,648,1.129
Fulham,304,411,1.352,304,275,0.905,608,686,1.128
Charlton Ath,152,199,1.309,152,143,0.941,304,342,1.125
Swindon Town,21,25,1.19,21,22,1.048,42,47,1.119
Portsmouth,133,184,1.383,133,108,0.812,266,292,1.098
Coventry City,177,219,1.237,177,168,0.949,354,387,1.093
Crystal Palace,270,292,1.081,270,295,1.093,540,587,1.087
Ipswich Town,101,125,1.238,101,94,0.931,202,219,1.084
Norwich City,196,240,1.224,196,174,0.888,392,414,1.056
Wolves,171,200,1.17,171,159,0.93,342,359,1.05
Stoke City,190,248,1.305,190,150,0.789,380,398,1.047
Wigan Athletic,152,169,1.112,152,147,0.967,304,316,1.039
West Brom,247,295,1.194,247,215,0.87,494,510,1.032
Birmingham City,133,162,1.218,133,111,0.835,266,273,1.026
Watford,152,180,1.184,152,130,0.855,304,310,1.02
Derby County,133,157,1.18,133,114,0.857,266,271,1.019
Sunderland,304,336,1.105,304,276,0.908,608,612,1.007
Burnley,152,161,1.059,152,139,0.914,304,300,0.987
Barnsley,19,25,1.316,19,12,0.632,38,37,0.974
Hull City,95,107,1.126,95,74,0.779,190,181,0.953
Sheffield Utd,99,117,1.182,99,70,0.707,198,187,0.944
Bradford City,38,46,1.211,38,22,0.579,76,68,0.895
Cardiff City,38,41,1.079,38,25,0.658,76,66,0.868
Huddersfield,38,26,0.684,38,24,0.632,76,50,0.658
